24.925s NetworkManager.service
 7.984s cloud-init-main.service
 4.830s apt-daily.service
 4.789s man-db.service
 4.693s apt-daily-upgrade.service
 4.534s dev-mmcblk0p2.device
 3.739s NetworkManager-wait-online.service
 2.808s e2scrub_reap.service
 2.179s ssh.service
 1.814s cloud-init-local.service
 1.760s systemd-user-sessions.service
 1.673s cloud-init-network.service
 1.588s ModemManager.service
 1.478s user@1000.service
 1.109s polkit.service
 1.090s rpi-resize-swap-file.service
 1.033s systemd-fsck@dev-disk-by\x2dpartuuid-2251539c\x2d01.service
 1.017s systemd-udev-trigger.service
  985ms keyboard-setup.service
  866ms systemd-udevd.service
  823ms cloud-final.service
  800ms avahi-daemon.service
  782ms bluetooth.service
  763ms run-lock.mount
  757ms sys-kernel-debug.mount
  748ms sys-kernel-tracing.mount
  725ms modprobe@fuse.service
  725ms dpkg-db-backup.service
  721ms dev-mqueue.mount
  696ms modprobe@configfs.service
  691ms modprobe@drm.service
  688ms cloud-config.service
  687ms kmod-static-nodes.service
  674ms dbus.service
  636ms systemd-journald.service
  633ms systemd-rfkill.service
  616ms systemd-modules-load.service
  597ms systemd-logind.service
  572ms systemd-binfmt.service
  561ms systemd-remount-fs.service
  546ms systemd-timesyncd.service
  526ms wpa_supplicant.service
  504ms systemd-hostnamed.service
  493ms systemd-udev-load-credentials.service
  458ms systemd-tmpfiles-setup.service
  426ms systemd-zram-setup@zram0.service
  409ms systemd-sysctl.service
  407ms systemd-tmpfiles-setup-dev-early.service
  355ms rpi-setup-loop@var-swap.service
  310ms sshswitch.service
  279ms logrotate.service
  274ms rpi-eeprom-update.service
  272ms sys-kernel-config.mount
  270ms console-setup.service
  270ms systemd-random-seed.service
  259ms systemd-journal-flush.service
  257ms sys-fs-fuse-connections.mount
  256ms proc-sys-fs-binfmt_misc.mount
  238ms alsa-restore.service
  199ms systemd-tmpfiles-setup-dev.service
  190ms boot-firmware.mount
  177ms dev-zram0.swap
  163ms tmp.mount
  163ms systemd-tmpfiles-clean.service
  127ms rpi-zram-writeback.service
  122ms user-runtime-dir@1000.service
  103ms modprobe@efi_pstore.service
